,DAT_ODDAJA,DAT_PREJEM_ZAV,DB_CLUSTER_LOCATION_ODDAJA,DB_CLUSTER_LOCATION_PREJEMA,IZVOR ODPADKA,NAZIV_ODPADKA_MERGED,NEVAREN,DB_CLUSTER_LOCATION_ODDAJA_X,DB_CLUSTER_LOCATION_ODDAJA_Y,DB_CLUSTER_LOCATION_PREJEMA_X,DB_CLUSTER_LOCATION_PREJEMA_Y,KOLIČINA ODPADKA v kg
0,01.02.17,01.02.17,0,0,NASTAJANJE KOMUNALNIH ODPADKOV,Baterije,*,46.1612776,14.6858708,46.1612776,14.6858708,2302.0
1,01.02.17,01.02.17,0,0,NASTAJANJE NEKOMUNALNIH ODPADKOV,Baterije,*,46.1612776,14.6858708,46.1612776,14.6858708,21860.0
2,01.02.17,01.02.17,0,0,NASTAJANJE NEKOMUNALNIH ODPADKOV,Medicinski odpadki,*,46.1612776,14.6858708,46.1612776,14.6858708,124.05
3,01.02.17,01.02.17,0,0,NASTAJANJE NEKOMUNALNIH ODPADKOV,Metalni odpadki,*,46.1612776,14.6858708,46.1612776,14.6858708,25.0
4,01.02.17,01.02.17,0,0,NASTAJANJE NEKOMUNALNIH ODPADKOV,Nevarne snovi,*,46.1612776,14.6858708,46.1612776,14.6858708,1814.0
5,01.02.17,01.02.17,0,0,NASTAJANJE NEKOMUNALNIH ODPADKOV,Olje,*,46.1612776,14.6858708,46.1612776,14.6858708,15276.0
6,01.02.17,01.02.17,0,4,NASTAJANJE KOMUNALNIH ODPADKOV,Metalni odpadki,*,46.1612776,14.6858708,46.2326087,14.329421535048724,215.0
7,01.02.17,01.02.17,0,6,NASTAJANJE NEKOMUNALNIH ODPADKOV,Olje,*,46.1612776,14.6858708,46.4047003,15.7987986,2082.0
8,01.02.17,01.02.17,0,8,NASTAJANJE NEKOMUNALNIH ODPADKOV,Električni odpadki,*,46.1612776,14.6858708,46.579626,15.8500327,1.0
9,01.02.17,01.02.17,0,8,NASTAJANJE NEKOMUNALNIH ODPADKOV,Medicinski odpadki,*,46.1612776,14.6858708,46.579626,15.8500327,3.0
10,01.02.17,01.02.17,0,10,NASTAJANJE NEKOMUNALNIH ODPADKOV,Medicinski odpadki,*,46.1612776,14.6858708,46.2396573,15.3208602,795.28
11,01.02.17,01.02.17,0,29,NASTAJANJE NEKOMUNALNIH ODPADKOV,Baterije,*,46.1612776,14.6858708,46.2427672,15.297059450195707,34.0
12,01.02.17,01.02.17,6,6,NASTAJANJE NEKOMUNALNIH ODPADKOV,Nevarne snovi,*,46.4047003,15.7987986,46.4047003,15.7987986,50.0
13,01.02.17,01.02.17,6,6,NASTAJANJE NEKOMUNALNIH ODPADKOV,Olje,*,46.4047003,15.7987986,46.4047003,15.7987986,430.0
14,01.02.17,01.02.17,9,0,NASTAJANJE NEKOMUNALNIH ODPADKOV,Olje,*,45.5370616,13.7318526,46.1612776,14.6858708,2380.0
15,01.02.17,01.02.17,16,29,NASTAJANJE NEKOMUNALNIH ODPADKOV,Baterije,*,46.2206013,15.3210776,46.2427672,15.297059450195707,180.0
16,01.02.17,01.02.17,71,0,NASTAJANJE NEKOMUNALNIH ODPADKOV,Olje,*,45.977613649999995,15.0113497,46.1612776,14.6858708,48.0
17,01.02.17,01.02.17,184,0,NASTAJANJE NEKOMUNALNIH ODPADKOV,Nevarne snovi,*,46.043010800000005,14.49095522064538,46.1612776,14.6858708,15.0
18,01.02.17,01.02.17,184,0,NASTAJANJE NEKOMUNALNIH ODPADKOV,Olje,*,46.043010800000005,14.49095522064538,46.1612776,14.6858708,4.0
19,01.02.18,01.02.18,0,0,NASTAJANJE KOMUNALNIH ODPADKOV,Baterije,*,46.1612776,14.6858708,46.1612776,14.6858708,2328.0
20,01.02.18,01.02.18,0,0,NASTAJANJE NEKOMUNALNIH ODPADKOV,Baterije,*,46.1612776,14.6858708,46.1612776,14.6858708,9941.0
21,01.02.18,01.02.18,0,0,NASTAJANJE NEKOMUNALNIH ODPADKOV,Medicinski odpadki,*,46.1612776,14.6858708,46.1612776,14.6858708,1150.75
22,01.02.18,01.02.18,0,0,NASTAJANJE NEKOMUNALNIH ODPADKOV,Olje,*,46.1612776,14.6858708,46.1612776,14.6858708,3480.0
23,01.02.18,01.02.18,0,0,ZBIRANJE POSEBNO (po posebnih predpisih),Baterije,*,46.1612776,14.6858708,46.1612776,14.6858708,524477.0
24,01.02.18,01.02.18,0,4,NASTAJANJE NEKOMUNALNIH ODPADKOV,Nevarne snovi,*,46.1612776,14.6858708,46.2326087,14.329421535048724,187.0
25,01.02.18,01.02.18,0,4,NASTAJANJE NEKOMUNALNIH ODPADKOV,Olje,*,46.1612776,14.6858708,46.2326087,14.329421535048724,355.0
26,01.02.18,01.02.18,0,6,NASTAJANJE NEKOMUNALNIH ODPADKOV,Nevarne snovi,*,46.1612776,14.6858708,46.4047003,15.7987986,55.0
27,01.02.18,01.02.18,0,6,NASTAJANJE NEKOMUNALNIH ODPADKOV,Olje,*,46.1612776,14.6858708,46.4047003,15.7987986,6203.0
28,01.02.18,01.02.18,0,6,ZBIRANJE POSEBNO (po posebnih predpisih),Nevarne snovi,*,46.1612776,14.6858708,46.4047003,15.7987986,164.0
29,01.02.18,01.02.18,0,6,ZBIRANJE POSEBNO (po posebnih predpisih),Olje,*,46.1612776,14.6858708,46.4047003,15.7987986,2559.0
30,01.02.18,01.02.18,0,8,NASTAJANJE NEKOMUNALNIH ODPADKOV,Medicinski odpadki,*,46.1612776,14.6858708,46.579626,15.8500327,745.0
31,01.02.18,01.02.18,0,10,NASTAJANJE NEKOMUNALNIH ODPADKOV,Medicinski odpadki,*,46.1612776,14.6858708,46.2396573,15.3208602,36.150000000000006
32,01.02.18,01.02.18,0,38,NASTAJANJE NEKOMUNALNIH ODPADKOV,Olje,*,46.1612776,14.6858708,46.5254164,15.65129215,3352.0
33,01.02.18,01.02.18,1,6,NASTAJANJE NEKOMUNALNIH ODPADKOV,Olje,*,46.0605431,14.6140286,46.4047003,15.7987986,198.0
34,01.02.18,01.02.18,1,6,"R3, R1 predelava v bioplinarni",Nevarne snovi,*,46.0605431,14.6140286,46.4047003,15.7987986,5782.0
35,01.02.18,01.02.18,4,77,ZBIRANJE SPLOŠNO,Olje,*,46.2326087,14.329421535048724,46.39692955,15.554414613198007,10500.0
36,01.02.18,01.02.18,38,6,ZBIRANJE SPLOŠNO,Olje,*,46.5254164,15.65129215,46.4047003,15.7987986,3352.0
37,01.02.18,01.02.18,48,0,NASTAJANJE NEKOMUNALNIH ODPADKOV,Baterije,*,46.65044995,16.169262133891753,46.1612776,14.6858708,270.0
38,01.02.18,01.02.18,53,0,ZBIRANJE POSEBNO (po posebnih predpisih),Baterije,*,45.94825935,15.51139469312967,46.1612776,14.6858708,2107.0
39,01.02.18,01.02.18,129,6,NASTAJANJE NEKOMUNALNIH ODPADKOV,Olje,*,45.92048425,13.628298442600798,46.4047003,15.7987986,320.0
40,01.02.18,01.02.18,184,0,NASTAJANJE NEKOMUNALNIH ODPADKOV,Nevarne snovi,*,46.043010800000005,14.49095522064538,46.1612776,14.6858708,73.0
41,01.02.18,01.02.18,208,6,NASTAJANJE NEKOMUNALNIH ODPADKOV,Nevarne snovi,*,46.07679185,14.499763250915803,46.4047003,15.7987986,19.0
42,01.02.18,01.02.18,208,6,NASTAJANJE NEKOMUNALNIH ODPADKOV,Olje,*,46.07679185,14.499763250915803,46.4047003,15.7987986,44.0
43,01.02.18,01.02.18,213,0,NASTAJANJE NEKOMUNALNIH ODPADKOV,Medicinski odpadki,*,46.0511472,14.519736745803645,46.1612776,14.6858708,581.5
44,01.02.19,01.02.19,0,0,NASTAJANJE KOMUNALNIH ODPADKOV,Baterije,*,46.1612776,14.6858708,46.1612776,14.6858708,14607.0
45,01.02.19,01.02.19,0,0,NASTAJANJE NEKOMUNALNIH ODPADKOV,Baterije,*,46.1612776,14.6858708,46.1612776,14.6858708,16020.0
46,01.02.19,01.02.19,0,0,NASTAJANJE NEKOMUNALNIH ODPADKOV,Nevarne snovi,*,46.1612776,14.6858708,46.1612776,14.6858708,43.0
47,01.02.19,01.02.19,0,0,NASTAJANJE NEKOMUNALNIH ODPADKOV,Olje,*,46.1612776,14.6858708,46.1612776,14.6858708,5842.0
