Lokacija,lang,long,atd
"SPODNJA JABLANICA 6, 1275 ŠMARTNO PRI LITIJI",46.045131549999994,14.867791500000006,0.0
"NA TRATI 22, 4248 LESCE",46.356484699999996,14.166365850000005,0.0
"PREČNA ULICA 7, 1000 LJUBLJANA",46.0527207,14.5081872,0.0
"SEČA 142, 6320 PORTOROŽ - PORTOROSE",45.499668400000004,13.58872410433183,0.0
"TRUBARJEVA ULICA 9, 3270 LAŠKO",46.1521688,15.2373778,0.0
"ŽNIDARČIČEVA ULICA 10, 5290 ŠEMPETER PRI GORICI",45.930870150000004,13.636410341369162,0.0
"MALI LOG 2A, 1318 LOŠKI POTOK",45.7244307,14.5876773,0.0
"RADEHOVA 7, 2230 LENART V SLOV. GORICAH",46.5679923,15.850918475000517,0.0
"VELIKA POLANA 197B, 9225 VELIKA POLANA",46.574510000000004,16.339719106934673,0.0
"ŠTIHOVA ULICA 23, 1000 LJUBLJANA",46.0632061,14.5144813,0.0
"ULICA JUŠA KOZAKA 1, 1000 LJUBLJANA",46.07837145,14.455740233608598,0.0
"PTUJSKA CESTA 5, 2270 ORMOŽ",46.40708685,16.147201908900648,0.0
"MESTNA ULICA 6, 3270 LAŠKO",46.1540955,15.2357705,0.0
"LJUBLJANSKA CESTA 21C, 1241 KAMNIK",46.2127553,14.6007804,0.0
"DVOR 87, 8361 DVOR",45.7911039,14.9888204,0.0
"OBRTNA ULICA 26A, 9000 MURSKA SOBOTA",46.66817065,16.17738627862292,0.0
"KOLIČEVO 65, 1230 DOMŽALE",46.1464214,14.6007931,0.0
"BARLETOVA CESTA 4T, 1215 MEDVODE",46.1372793,14.412782,0.0
"MEDVOŠKA CESTA 3, 1215 MEDVODE",46.14042425,14.411941342998613,0.0
"GORIČICA 8, 3230 ŠENTJUR",46.2374624,15.3700427,0.0
"GORENJE PONIKVE 5, 8210 TREBNJE",45.89746545,15.0424082,0.0
"CESTA SOLINARJEV 1, 6320 PORTOROŽ - PORTOROSE",45.504242700000006,13.60212357644826,0.0
"LJUBLJANSKA CESTA 90, 2310 SLOVENSKA BISTRICA",46.382952599999996,15.56252430310851,0.0
"BOROVŠKA CESTA 75, 4280 KRANJSKA GORA",46.484646,13.786132071926122,0.0
"SLOVENSKA CESTA 34, 1000 LJUBLJANA",46.052564,14.503834,0.0
"RUNKOVA ULICA 6, 1000 LJUBLJANA",46.0694394,14.4915921,0.0
"PODBREG 37, 4280 KRANJSKA GORA",46.48249885,13.782742001785714,0.0
"SPODNJA REČICA 68, 3332 REČICA OB SAVINJI",46.3162498,14.9311589,0.0
"ŠKURHOVA ULICA 10, 1292 IG",45.956564099999994,14.53561724997133,0.0
"VIŠKA CESTA 2, 1000 LJUBLJANA",46.0421692,14.4765083,0.0
"TOVARNIŠKA CESTA 43, 2342 RUŠE",46.5445821,15.512820699999999,0.0
"CESTA OSVOBODILNE FRONTE 42, 2000 MARIBOR",46.5495563,15.6683326,0.0
"KANIŽARICA 101, 8340 ČRNOMELJ",45.5574777,15.168891949999999,0.0
"CESTA KRŠKIH ŽRTEV 130A, 8270 KRŠKO",45.9570683,15.4865079,0.0
"TEŠANOVCI 39, 9226 MORAVSKE TOPLICE",46.680548200000004,16.24582817054033,0.0
"HRAŠKA CESTA 22, 4248 LESCE",46.36691385,14.158864525871353,0.0
"LAZE V TUHINJU 37, 1219 LAZE V TUHINJU",46.2182462,14.7599714,0.0
"ULICA 11. NOVEMBRA 59, 8273 LESKOVEC PRI KRŠKEM",45.93697605,15.481739008517676,0.0
"AŠKERČEVA ULICA 6A, 1230 DOMŽALE",46.1309102,14.5976156,0.0
"KRAŠKA ULICA 7, 6210 SEŽANA",45.707590350000004,13.856129634522539,0.0
"ADERGAS 6, 4207 CERKLJE NA GORENJSKEM",46.26861975,14.462760910714286,0.0
"BORŠTNIKOVA ULICA 33A, 2000 MARIBOR",46.53718404999999,15.623948208681476,0.0
"KROŽNA CESTA 3A, 6000 KOPER - CAPODISTRIA",45.540874,13.7089555,0.0
"KRANJČEVA ULICA 2, 9220 LENDAVA - LENDVA",46.563747899999996,16.453702500980715,0.0
"SAVSKA CESTA 7, 4264 BOHINJSKA BISTRICA",46.2754725,13.9514536,0.0
"GRADNIKOVA ULICA 23, 5213 KANAL",46.0888974,13.635069529562454,0.0
"BUKOVLJE 8, 3206 STRANICE",46.3594406,15.368611449116472,0.0
"VIPAVSKA CESTA 4, 5000 NOVA GORICA",45.94191145,13.63916485,0.0
"RAVENSKA ULICA 8, 9233 ODRANCI",46.5862691,16.2763189,0.0
"MOČLE 2, 3240 ŠMARJE PRI JELŠAH",46.2360255,15.485527348381943,0.0
"STARŠE 5, 2205 STARŠE",46.468828,15.7589074,0.0
"ULICA ANGELCE HLEBCE 1D, 4000 KRANJ",46.2320158,14.3650678,0.0
"STARI TRG OB KOLPI 7, 8342 STARI TRG OB KOLPI",45.4931262,15.076906836383046,0.0
"LJUBLJANSKA CESTA 55, 2327 RAČE",46.45172895,15.668557960180056,0.0
