,Lokacija,lat,lon
0,"SPODNJA JABLANICA 6, 1275 ŠMARTNO PRI LITIJI",46.04513155,14.867791500000006
1,"NA TRATI 22, 4248 LESCE",46.3564847,14.166365850000004
2,"PREČNA ULICA 7, 1000 LJUBLJANA",46.0527207,14.5081872
3,"SEČA 142, 6320 PORTOROŽ - PORTOROSE",45.4996684,13.58872410433183
4,"TRUBARJEVA ULICA 9, 3270 LAŠKO",46.1521688,15.2373778
5,"ŽNIDARČIČEVA ULICA 10, 5290 ŠEMPETER PRI GORICI",45.93087015,13.636410341369162
6,"MALI LOG 2A, 1318 LOŠKI POTOK",45.7244307,14.5876773
7,"RADEHOVA 7, 2230 LENART V SLOV. GORICAH",46.5679923,15.850918475000515
8,"VELIKA POLANA 197B, 9225 VELIKA POLANA",46.57451,16.339719106934673
9,"ŠTIHOVA ULICA 23, 1000 LJUBLJANA",46.0632061,14.5144813
10,"ULICA JUŠA KOZAKA 1, 1000 LJUBLJANA",46.07837145,14.455740233608598
11,"PTUJSKA CESTA 5, 2270 ORMOŽ",46.40708685,16.147201908900648
12,"MESTNA ULICA 6, 3270 LAŠKO",46.1540955,15.2357705
13,"LJUBLJANSKA CESTA 21C, 1241 KAMNIK",46.2127553,14.6007804
14,"DVOR 87, 8361 DVOR",45.7911039,14.9888204
15,"OBRTNA ULICA 26A, 9000 MURSKA SOBOTA",46.66817065,16.17738627862292
16,"KOLIČEVO 65, 1230 DOMŽALE",46.1464214,14.6007931
17,"BARLETOVA CESTA 4T, 1215 MEDVODE",46.1372793,14.412782
18,"MEDVOŠKA CESTA 3, 1215 MEDVODE",46.14042425,14.411941342998611
19,"GORIČICA 8, 3230 ŠENTJUR",46.2374624,15.3700427
20,"GORENJE PONIKVE 5, 8210 TREBNJE",45.89746545,15.0424082
21,"CESTA SOLINARJEV 1, 6320 PORTOROŽ - PORTOROSE",45.504242700000006,13.60212357644826
22,"LJUBLJANSKA CESTA 90, 2310 SLOVENSKA BISTRICA",46.3829526,15.56252430310851
23,"BOROVŠKA CESTA 75, 4280 KRANJSKA GORA",46.484646,13.786132071926122
24,"SLOVENSKA CESTA 34, 1000 LJUBLJANA",46.052564,14.503834
25,"RUNKOVA ULICA 6, 1000 LJUBLJANA",46.0694394,14.4915921
26,"PODBREG 37, 4280 KRANJSKA GORA",46.48249885,13.782742001785714
27,"SPODNJA REČICA 68, 3332 REČICA OB SAVINJI",46.3162498,14.9311589
28,"ŠKURHOVA ULICA 10, 1292 IG",45.9565641,14.53561724997133
29,"VIŠKA CESTA 2, 1000 LJUBLJANA",46.0421692,14.4765083
30,"TOVARNIŠKA CESTA 43, 2342 RUŠE",46.5445821,15.5128207
31,"CESTA OSVOBODILNE FRONTE 42, 2000 MARIBOR",46.5495563,15.6683326
32,"KANIŽARICA 101, 8340 ČRNOMELJ",45.5574777,15.16889195
33,"CESTA KRŠKIH ŽRTEV 130A, 8270 KRŠKO",45.9570683,15.4865079
34,"TEŠANOVCI 39, 9226 MORAVSKE TOPLICE",46.6805482,16.24582817054033
35,"HRAŠKA CESTA 22, 4248 LESCE",46.36691385,14.158864525871351
